name,address,thana,district,type,capacity,quantity,brand,model,serial,receipt
Shawpno-F001,Police line road,Barisal Sadar,Barishal,dw,300,1,none,none,none,444337/05.11.2024
Shawpno-F113,"Kobi Jibbonando Das Road, Shitlakhola mor, Bagura road",Barisal Sadar,Barishal,dw,30,1,none,none,none,444337/05.11.2024
Shawpno-F113,"Kobi Jibbonando Das Road, Shitlakhola mor, Bagura road",Barisal Sadar,Barishal,dw,300,1,none,none,none,444337/05.11.2024
Shawpno-F218,Rupatoli,Barisal Sadar,Barishal,dw,30,2,none,none,none,444337/05.11.2024
Shawpno-F218,Rupatoli,Barisal Sadar,Barishal,dw,300,1,none,none,none,444337/05.11.2024
Shawpno-F260,"C&B 1no pull, C&B More",Barisal Sadar,Barishal,dw,30,3,none,none,none,444337/05.11.2024
Shawpno-F335,"264, Karim Kuthir, Main Bhaban, Major M A Jalil Sarak",Barisal Sadar,Barishal,dw,150,1,none,none,none,444337/05.11.2024
Shawpno-F340,"Dag:5807-5808, Khatian:4580, Holding: 728, Khadem Hossain More, Banglabazar",Barisal Sadar,Barishal,dw,30,1,none,none,none,444337/05.11.2024
Shawpno-F355,"169, Nothullabad, C&B Road",Barisal Sadar,Barishal,dw,30,1,none,none,none,444337/05.11.2024
Shawpno-F355,"169, Nothullabad, C&B Road",Barisal Sadar,Barishal,dw,150,1,none,none,none,444337/05.11.2024
Shawpno-B004,"Holding: 0195-000, Oviruchi Cinema Hall, 30, Bir Shreshtho Shahid Captain Mohiuddin Jahangir Sarak, Sadar Road",Barisal Sadar,Barishal,dw,30,4,none,none,none,444337/05.11.2024
Shawpno-B004,"Holding: 0195-000, Oviruchi Cinema Hall, 30, Bir Shreshtho Shahid Captain Mohiuddin Jahangir Sarak, Sadar Road",Barisal Sadar,Barishal,dw,300,1,none,none,none,444337/05.11.2024
Shawpno-F307,Upazilla Gate,Gaurnadi,Barishal,dw,30,2,none,none,none,444337/05.11.2024
Shawpno-F432,"S P Market, Sadar Road, Bakerganj Bondor",Bakerganj,Barishal,dw,30,2,none,none,none,444337/05.11.2024
Shawpno-F504,Fortune Tower,Babuganj,Barishal,dw,30,1,none,none,none,444337/05.11.2024
Shawpno-F504,Fortune Tower,Babuganj,Barishal,dw,150,1,none,none,none,444337/05.11.2024
Shawpno-F514,"Kashipur Bazar, Kashipur",Barisal Sadar,Barishal,dw,30,1,none,none,none,444337/05.11.2024
Shawpno-F514,"Kashipur Bazar, Kashipur",Barisal Sadar,Barishal,dw,150,1,none,none,none,444337/05.11.2024
Shawpno-F514,"Kashipur Bazar, Kashipur",Barisal Sadar,Barishal,dw,300,1,none,none,none,444337/05.11.2024
Shawpno-F191,"52, Kumarpotti",Jhalokati Sadar,Jhalokati,dw,30,1,none,none,none,444337/05.11.2024
Shawpno-F191,"52, Kumarpotti",Jhalokati Sadar,Jhalokati,dw,150,1,none,none,none,444337/05.11.2024
Shawpno-F192,"Under Sonali Bank, Pukur Par",Bhandaria,Pirojpur,dw,30,1,none,none,none,444337/05.11.2024
Shawpno-F192,"Under Sonali Bank, Pukur Par",Bhandaria,Pirojpur,dw,150,1,none,none,none,444337/05.11.2024
Shawpno-F192,"Under Sonali Bank, Pukur Par",Bhandaria,Pirojpur,dw,300,1,none,none,none,444337/05.11.2024
Shawpno-F223,Mohila college More,Pirojpur Sadar,Pirojpur,dw,30,1,none,none,none,444337/05.11.2024
Shawpno-F223,Mohila college More,Pirojpur Sadar,Pirojpur,dw,150,1,none,none,none,444337/05.11.2024
Shawpno-F317,"Chairman Plaza, Thanapara Road, Sabujnagar",Mathbaria,Pirojpur,dw,30,2,none,none,none,444337/05.11.2024
Shawpno-F317,"Chairman Plaza, Thanapara Road, Sabujnagar",Mathbaria,Pirojpur,dw,300,1,none,none,none,444337/05.11.2024
